1426519398.486243|LAUNCH|DIDLaunch|
1426519398.790932|STDEV|63|
1426519398.828104|ASW|16b9e54c981844f2|
1426519400.294965|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(stites’s MacBook Pro) port(62921)|
1426519400.346347|M|checking|
1426519400.853067|M|checking|
1426519401.104876|ASW|6f8dc6d0fd155387|
1426519431.941716|ASW|d867ae84449c714e|
1426519433.381708|ASW|2b8bb70fde4084dd|
1426519683.806532|ASW|8219a133a779d5c2|
1426519690.300164|ASW|3b74631c27c777e7|
1426519693.195168|ASW|3b74631c27c777e7|
1426519698.141907|WISNAP|0 0|
1426519710.799507|ASW|2b8bb70fde4084dd|
1426519737.934265|ASW|3b74631c27c777e7|
1426519866.446511|ASW|2b8bb70fde4084dd|
1426519867.189243|ASW|3b74631c27c777e7|
1426519868.030967|ASW|2b8bb70fde4084dd|
1426520386.622121|ASW|8219a133a779d5c2|
1426520388.968407|ASW|3aea4af51f236e49|
1426520390.610389|ASW|3aea4af51f236e49|
1426520393.623099|ASW|2b8bb70fde4084dd|
1426520426.979474|ASW|3aea4af51f236e49|
1426520806.383927|ASW|2b8bb70fde4084dd|
1426520808.568266|ASW|3b74631c27c777e7|
1426520811.338812|ASW|2b8bb70fde4084dd|
1426520820.899690|ASW|3b74631c27c777e7|
1426520824.752075|ASW|2b8bb70fde4084dd|
1426520826.139719|ASW|3b74631c27c777e7|
1426520827.152713|ASW|3aea4af51f236e49|
1426520834.366441|ASW|3b74631c27c777e7|
1426520842.001852|ASW|3aea4af51f236e49|
1426520842.902870|ASW|3b74631c27c777e7|
1426520872.031891|ASW|3aea4af51f236e49|
1426521032.950504|ASW|2b8bb70fde4084dd|
1426521034.607466|ASW|3aea4af51f236e49|
1426521035.970965|ASW|2b8bb70fde4084dd|
1426521039.344427|ASW|3aea4af51f236e49|
1426521041.394080|ASW|2b8bb70fde4084dd|
1426521119.836044|ASW|3f39b8e22c95448e|
1426521126.632642|ASW|2b8bb70fde4084dd|
1426521137.697541|ASW|3f39b8e22c95448e|
1426521139.577385|ASW|2b8bb70fde4084dd|
1426521154.650001|ASW|3b74631c27c777e7|
1426521179.074539|ASW|2b8bb70fde4084dd|
1426521231.073118|ASW|3b74631c27c777e7|
1426521232.067836|ASW|2b8bb70fde4084dd|
1426521295.101758|ASW|3b74631c27c777e7|
1426521296.379073|ASW|3f39b8e22c95448e|
1426521300.655305|ASW|3b74631c27c777e7|
1426521301.375007|ASW|2b8bb70fde4084dd|
1426521764.865535|ASW|3b74631c27c777e7|
1426521766.486968|ASW|d867ae84449c714e|
1426521766.514555|ASW|d867ae84449c714e|
1426521830.571535|ASW|3b74631c27c777e7|
1426521837.192462|ASW|d867ae84449c714e|
1426521838.722447|ASW|2b8bb70fde4084dd|
1426522451.429479|ASW|3b74631c27c777e7|
1426522453.429574|ASW|2b8bb70fde4084dd|
1426522628.017781|ASW|3b74631c27c777e7|
1426522630.460777|ASW|2b8bb70fde4084dd|
1426524445.490857|SLEEP|WILLSLEEP|
1426524445.496332|ASW|2b8bb70fde4084dd|
1426524446.682390|ASW|16b9e54c981844f2|
1426527693.343645|ASW|2b8bb70fde4084dd|
1426527693.650591|WAKE|DIDWAKE|
1426527693.872148|ASL|port was already used by another application|
