1426527695.910544|LAUNCH|DIDLaunch|
1426527696.221342|STDEV|63|
1426527696.282919|ASW|2b8bb70fde4084dd|
1426527697.576011|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(stites’s MacBook Pro) port(65524)|
1426527697.803951|M|checking|
1426527698.312010|M|checking|
1426527941.207106|WISNAP|2 0|
1426527947.052900|ASW|3b74631c27c777e7|
1426527955.562249|ASW|3f39b8e22c95448e|
1426527956.584039|ASW|3b74631c27c777e7|
1426528080.194203|ASW|2b8bb70fde4084dd|
1426528080.247220|ASW|2b8bb70fde4084dd|
1426528085.719406|ASW|3b74631c27c777e7|
1426528087.724747|ASW|d867ae84449c714e|
1426528096.450194|ASW|2b8bb70fde4084dd|
1426528097.628094|ASW|d867ae84449c714e|
1426528100.201977|ASW|2b8bb70fde4084dd|
1426528810.768997|ASW|3f39b8e22c95448e|
1426528817.510618|ASW|2b8bb70fde4084dd|
1426528817.546816|ASW|2b8bb70fde4084dd|
1426528844.241139|ASW|d867ae84449c714e|
1426528844.273438|ASW|d867ae84449c714e|
1426528846.476879|ASW|2b8bb70fde4084dd|
1426528866.938603|ASW|6f8dc6d0fd155387|
1426528879.238849|ASW|2b8bb70fde4084dd|
1426528881.130687|ASW|d867ae84449c714e|
1426528882.271440|ASW|6f8dc6d0fd155387|
1426528885.608986|ASW|2b8bb70fde4084dd|
1426529007.685621|ASW|6f8dc6d0fd155387|
1426529044.463585|ASW|2b8bb70fde4084dd|
1426529061.888604|ASW|6f8dc6d0fd155387|
1426529110.666472|ASW|2b8bb70fde4084dd|
1426529111.417899|ASW|d867ae84449c714e|
1426529112.824527|ASW|6f8dc6d0fd155387|
1426529115.097218|ASW|3b74631c27c777e7|
1426529124.034546|WISNAP|4 0|
1426529130.126122|ASW|6f8dc6d0fd155387|
1426529184.121281|ASW|3b74631c27c777e7|
1426529186.208993|ASW|2b8bb70fde4084dd|
1426529213.891247|ASW|6f8dc6d0fd155387|
1426529238.150268|ASW|2b8bb70fde4084dd|
1426529290.203230|ASW|6f8dc6d0fd155387|
1426529290.229921|ASW|6f8dc6d0fd155387|
1426529457.443686|ASW|d867ae84449c714e|
1426529524.293206|ASW|6f8dc6d0fd155387|
1426529530.189895|ASW|d867ae84449c714e|
1426529550.928684|ASW|3f39b8e22c95448e|
1426529576.394451|ASW|d867ae84449c714e|
1426529577.686747|ASW|3f39b8e22c95448e|
1426529601.396386|ASW|2b8bb70fde4084dd|
1426529603.641513|ASW|3f39b8e22c95448e|
1426529656.620751|ASW|2b8bb70fde4084dd|
1426529657.121919|ASW|3b74631c27c777e7|
1426529662.504547|ASW|6f8dc6d0fd155387|
1426529664.069467|ASW|2b8bb70fde4084dd|
1426529664.105360|ASW|2b8bb70fde4084dd|
1426529669.233506|ASW|6f8dc6d0fd155387|
1426529669.266211|ASW|6f8dc6d0fd155387|
1426529893.986377|ASW|3b74631c27c777e7|
1426529894.745897|ASW|2b8bb70fde4084dd|
1426529895.844939|ASW|6f8dc6d0fd155387|
1426529939.451766|ASW|3b74631c27c777e7|
1426529943.967480|ASW|6f8dc6d0fd155387|
1426529979.150129|ASW|3b74631c27c777e7|
1426529981.355181|ASW|2b8bb70fde4084dd|
1426529988.588790|ASW|6f8dc6d0fd155387|
1426529988.612833|ASW|6f8dc6d0fd155387|
1426530003.180331|ASW|2b8bb70fde4084dd|
1426530030.601208|ASW|6f8dc6d0fd155387|
1426530033.299139|ASW|2b8bb70fde4084dd|
1426530033.356475|ASW|2b8bb70fde4084dd|
1426530070.948838|ASW|6f8dc6d0fd155387|
1426530133.938990|ASW|2b8bb70fde4084dd|
1426530135.973394|ASW|d867ae84449c714e|
1426530138.143564|ASW|2b8bb70fde4084dd|
1426530139.950477|ASW|3f39b8e22c95448e|
1426530139.989543|ASW|3f39b8e22c95448e|
1426530144.396484|ASW|3b74631c27c777e7|
1426530145.874276|ASW|d867ae84449c714e|
1426530148.431899|ASW|2b8bb70fde4084dd|
1426530189.199955|ASW|6f8dc6d0fd155387|
1426530240.705412|ASW|2b8bb70fde4084dd|
1426530284.502605|ASW|6f8dc6d0fd155387|
1426530284.533966|ASW|6f8dc6d0fd155387|
1426530285.319275|ASW|d867ae84449c714e|
1426530286.319629|ASW|3b74631c27c777e7|
1426530289.958981|ASW|2b8bb70fde4084dd|
1426530293.460903|ASW|3f39b8e22c95448e|
1426530293.496719|ASW|3f39b8e22c95448e|
1426530330.015491|ASW|2b8bb70fde4084dd|
1426530340.339150|ASW|d867ae84449c714e|
1426530347.286627|ASW|2b8bb70fde4084dd|
1426530347.325256|ASW|2b8bb70fde4084dd|
1426530414.239833|ASW|d867ae84449c714e|
1426530426.722701|ASW|2b8bb70fde4084dd|
1426530430.863040|ASW|3f39b8e22c95448e|
1426530432.756160|ASW|8219a133a779d5c2|
1426530434.684246|ASW|d867ae84449c714e|
1426530435.607613|ASW|2b8bb70fde4084dd|
1426530435.926546|ASW|2b8bb70fde4084dd|
1426530444.848615|ASW|d867ae84449c714e|
1426530467.103626|WISNAP|0 0|
1426530775.398989|ASW|2b8bb70fde4084dd|
1426530776.538533|ASW|3f39b8e22c95448e|
1426530791.335199|ASW|2b8bb70fde4084dd|
1426530792.180064|ASW|d867ae84449c714e|
1426530802.762839|ASW|2b8bb70fde4084dd|
1426530803.691340|ASW|3f39b8e22c95448e|
1426530806.643652|ASW|2b8bb70fde4084dd|
1426530807.316174|ASW|d867ae84449c714e|
1426530862.169669|ASW|3f39b8e22c95448e|
1426530894.979743|ASW|d867ae84449c714e|
1426530896.603581|ASW|3f39b8e22c95448e|
1426530902.035939|ASW|d867ae84449c714e|
1426530902.931746|ASW|3f39b8e22c95448e|
1426530916.604407|ASW|d867ae84449c714e|
